                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79461,                 1.7816,                 1.0414,                0.83901,                0.43232,                0.51129,                0.41296,                0.62548,                0.87645,                0.89873,              0.0033307,              0.0033307,              0.0033307
                      1,                0.79104,                 1.0044,                 1.0188,                0.80771,                0.44844,                  0.493,                0.38702,                 0.7265,                0.94598,                0.96097,               0.006631,               0.006631,               0.006631
                      2,                0.90279,                 1.1115,                 1.0705,                0.78676,                0.40774,                 0.4514,                0.33289,                0.88804,                 1.2012,                 1.0403,              0.0098984,              0.0098984,              0.0098984
                      3,                0.95615,                 1.1635,                 1.0977,                0.75694,                 0.4773,                0.51655,                0.39056,                 0.7884,                0.97708,                0.98598,              0.0098515,              0.0098515,              0.0098515
                      4,                0.91127,                  1.045,                 1.0763,                0.84119,                0.46318,                0.54541,                0.41323,                0.75623,                0.97195,                0.97503,              0.0098515,              0.0098515,              0.0098515
                      5,                0.87449,                0.96083,                 1.0572,                0.83128,                0.49695,                0.56583,                  0.443,                0.74453,                0.92955,                 0.9726,               0.009802,               0.009802,               0.009802
                      6,                0.83971,                0.90047,                 1.0401,                0.82809,                0.54069,                0.58356,                0.46175,                0.70031,                0.78658,                0.95052,              0.0097525,              0.0097525,              0.0097525
                      7,                0.82047,                 0.8609,                 1.0317,                0.84854,                0.54505,                0.60295,                0.47397,                0.68715,                0.74687,                0.94967,               0.009703,               0.009703,               0.009703
                      8,                0.80451,                0.82256,                 1.0246,                0.73246,                0.53662,                0.60672,                0.48745,                0.65688,                0.76924,                0.92549,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.7825,                0.78784,                 1.0124,                0.78197,                0.55932,                0.64082,                0.52401,                0.62659,                0.67831,                0.91736,               0.009604,               0.009604,               0.009604
                     10,                0.76792,                0.76343,                 1.0067,                 0.8953,                0.52745,                0.61863,                0.50275,                0.62758,                0.69434,                0.91498,              0.0095545,              0.0095545,              0.0095545
                     11,                0.75149,                0.73967,                0.99828,                 0.8401,                0.59104,                0.65741,                0.52325,                0.62024,                0.72115,                0.91885,               0.009505,               0.009505,               0.009505
                     12,                0.75068,                0.72609,                0.99713,                0.84517,                0.60618,                0.66435,                0.54728,                0.58992,                0.64867,                0.89857,              0.0094555,              0.0094555,              0.0094555
                     13,                0.74011,                0.70906,                0.99239,                0.84132,                 0.6196,                0.66867,                0.54746,                0.58584,                0.66059,                0.89371,               0.009406,               0.009406,               0.009406
                     14,                0.72456,                0.69099,                0.98501,                0.76123,                0.62653,                0.67583,                0.55876,                0.58414,                0.68185,                0.90159,              0.0093565,              0.0093565,              0.0093565
                     15,                0.71852,                0.68085,                0.98256,                0.72341,                0.63946,                0.69382,                0.57804,                0.56871,                0.59384,                0.88869,               0.009307,               0.009307,               0.009307
                     16,                0.71481,                 0.6728,                0.98376,                0.86328,                0.58583,                0.67542,                0.56446,                 0.5625,                0.58918,                  0.889,              0.0092575,              0.0092575,              0.0092575
                     17,                0.70783,                0.65817,                0.97975,                0.71484,                0.66147,                0.69107,                0.58468,                0.54702,                0.58715,                0.88249,               0.009208,               0.009208,               0.009208
                     18,                0.70525,                0.65545,                 0.9769,                 0.8096,                0.65663,                0.70562,                0.59838,                0.54492,                0.57834,                0.88287,              0.0091585,              0.0091585,              0.0091585
                     19,                0.69988,                0.64406,                0.97423,                0.69962,                0.66005,                0.69924,                0.58778,                0.53126,                0.57394,                0.87779,               0.009109,               0.009109,               0.009109
                     20,                0.69557,                0.63159,                0.96957,                0.80633,                0.64206,                0.71315,                0.59787,                 0.5307,                0.56384,                0.87544,              0.0090595,              0.0090595,              0.0090595
                     21,                0.69039,                0.62899,                0.96656,                0.74896,                0.66913,                0.71402,                0.61192,                0.53349,                 0.5468,                0.87551,                0.00901,                0.00901,                0.00901
                     22,                0.68171,                0.61577,                0.96541,                0.69041,                0.66452,                0.71595,                0.61019,                0.52729,                0.53229,                0.87633,              0.0089605,              0.0089605,              0.0089605
                     23,                0.68353,                0.61152,                0.96622,                0.84209,                0.66807,                0.72573,                0.61943,                0.52655,                 0.5459,                0.87631,               0.008911,               0.008911,               0.008911
                     24,                0.67583,                0.60445,                0.96201,                0.70943,                0.67704,                0.73703,                0.62871,                0.52246,                 0.5319,                0.87633,              0.0088615,              0.0088615,              0.0088615
                     25,                0.67347,                0.60059,                0.96149,                0.86728,                0.62891,                0.71489,                 0.6116,                0.51323,                0.52735,                0.86971,               0.008812,               0.008812,               0.008812
                     26,                0.67213,                0.59122,                0.95979,                0.92364,                0.63598,                0.73251,                0.63426,                0.50951,                0.53426,                0.87114,              0.0087625,              0.0087625,              0.0087625
                     27,                0.66657,                0.59104,                0.95844,                0.78488,                0.66978,                0.75607,                0.65533,                0.50963,                0.51922,                0.87014,               0.008713,               0.008713,               0.008713
                     28,                0.65733,                0.57807,                0.95494,                 0.8475,                0.68934,                 0.7445,                0.63862,                0.50518,                0.51109,                0.86564,              0.0086635,              0.0086635,              0.0086635
                     29,                0.66332,                0.57864,                0.95717,                0.87824,                0.66544,                0.73205,                0.63215,                0.50625,                0.51091,                 0.8699,               0.008614,               0.008614,               0.008614
                     30,                0.65239,                0.57007,                0.94999,                0.72324,                0.65516,                0.72847,                 0.6264,                0.49896,                0.52021,                0.86702,              0.0085645,              0.0085645,              0.0085645
                     31,                0.65378,                0.57227,                0.95223,                0.77113,                0.70407,                0.73931,                0.63765,                0.49706,                0.50989,                0.86417,               0.008515,               0.008515,               0.008515
                     32,                0.64766,                0.56363,                 0.9505,                0.74366,                0.69767,                 0.7296,                 0.6316,                0.49019,                 0.5078,                0.86083,              0.0084655,              0.0084655,              0.0084655
                     33,                 0.6493,                0.56127,                0.95254,                0.88069,                0.69043,                0.76172,                0.66383,                0.48775,                0.50003,                0.86178,               0.008416,               0.008416,               0.008416
                     34,                 0.6441,                0.55225,                0.94648,                0.75174,                0.70041,                0.74124,                0.64269,                0.48881,                0.50232,                0.86201,              0.0083665,              0.0083665,              0.0083665
                     35,                0.64389,                0.55126,                0.94999,                0.87398,                0.70226,                0.75538,                0.65446,                0.48604,                0.49546,                0.86019,               0.008317,               0.008317,               0.008317
                     36,                0.63719,                0.54354,                0.94743,                0.85958,                0.71388,                0.75689,                0.65283,                0.48565,                0.48902,                0.86134,              0.0082675,              0.0082675,              0.0082675
                     37,                0.64359,                0.54305,                0.95019,                0.86543,                0.70562,                0.75936,                0.65801,                0.48088,                0.49177,                0.85882,               0.008218,               0.008218,               0.008218
                     38,                0.63404,                 0.5438,                0.94387,                0.89375,                0.70261,                0.75841,                0.65709,                0.47825,                 0.4976,                0.85696,              0.0081685,              0.0081685,              0.0081685
                     39,                0.63522,                0.53443,                0.94341,                0.91132,                0.70694,                0.75776,                0.65745,                0.47603,                0.49458,                0.85612,               0.008119,               0.008119,               0.008119
                     40,                0.63324,                0.53165,                0.94285,                0.92197,                0.70269,                0.76596,                0.66611,                  0.474,                0.49193,                0.85574,              0.0080695,              0.0080695,              0.0080695
                     41,                0.62968,                0.52785,                0.94269,                0.92146,                0.70165,                0.76833,                0.66996,                0.47295,                0.48366,                0.85545,                0.00802,                0.00802,                0.00802
                     42,                0.62731,                0.52807,                0.94013,                0.91734,                0.69781,                0.77224,                0.67535,                0.47301,                0.48067,                0.85582,              0.0079705,              0.0079705,              0.0079705
                     43,                0.62701,                0.52699,                0.94045,                0.92205,                0.69673,                0.77596,                0.67561,                0.47273,                0.48089,                0.85576,               0.007921,               0.007921,               0.007921
